word,definition,length
albugan,"(N.) place where the sun sets.
(St.) mi-albug-an ‘be caught by nightfall’.",7
albul,(N.) a drying device for fishnets.,5
albularyu,(N.) folk doctor. see (h) ilut.,9
alburutu,"(N., V.) noise, make noise; see qalburutu.",8
aldo,"(N.) sun; day. ganing-aldo ‘pre-dawn morning’,
kayaldawanan ‘birthday; anniversary’.
(D.) aldo-aldo ‘daily’.",4
aliq,"(Neg.) not.
(V.) payaliq; payalyan ‘deny’.",4
alikabuk,"(N.) dust.
(D.) maqalikabuk ‘dusty’; mi:alika-buka’n ‘covered
with dust’; makaqa-likabuk [St.] ‘dusty’.
(V.) ma:n-alikabuk ‘raising dust’.",8
alili,"(V.) alila’n ‘change something’, man-alili ‘changing
[intrans.].
(N.) ka:lili/kayalili ‘successor’.",5
alimasag,(N.) spotted crab.,8
alipungaq,"(N.) athletes’ foot.
(D.) maqalipungan ‘suffering from athletes’ foot’;
makayalipungaq ‘conducive to a.f.’.",9
alistu,"(N.) a person who acts skillfully, lively.
pangaqalistu ‘acting skillfully’.
(D.) kaqalistuwan; kasingalistu; pekaqalistu.",6
aliwaq,"(N./D.) other.
pami-aliwaq ‘difference’; pamanaliwaq ‘process of
change’.
(D.) maqaliwa:liwaq ‘all sorts of’; miyayaliwaq
‘disparate’; mi-aliwaq ‘different’.
(V.) man-aliwaq ‘change something’; i-aliwaq
‘change something’.",6
alma,(N.) a female name.,4
almaq,(V.) man-almaq ‘rear up’.,5
almusal,"(N.) breakfast.
(V.) mag-almusal ‘eat breakfast’.",7
alpaq,"(N.) a kind of vegetable, ampalaya.",5
altar,"(N.) altar, house shrine.",5
alti,"(N.) thunder; (?lightning?); see duldul.
Usually this word is used in curses, as: dipaning
alti!",4
alulud,"(N.) 1. eaves and drain of a roof; [metaphorically]
‘heavy drinking’.
2. shins.
(D.) meyalulud ‘barked shins’.",6
aluminyu,"(N.) aluminum; cheap money (new coins–as
contrasted to the older coins with more silver
content).",8
alus,"(Q.) nearly, almost.",4
aluwagi,(N.) carpenter.,7
ama,"(D.) pleasing.
makayama ‘conducive to pleasure’.",3
amad,"(N.) cartilage.
[metaphor] a selfish person.
(D.) mayamad ‘stringy (meat)’.",4
amanu,"(N.) word, language, speech.",5
ambag,"(N.) contribution. peka-ambag ‘thing given’.
(V.) [intransitive] man-ambag, pan-ambag,
makapanambag. [transitive] i-ambag, ayambag,
ayam-bagan, panambaga, ka-ambagan, pa-ambag,
apayambagan.",5
ambuq,(N.) nickname for Pablo.,5
ambun,"(N.) dew.
(V.) mamambun ‘be about to rain’.
(D.) mayambun ‘overcast, misty’; miyambunan
‘covered with dew’.",5
ambus,(V.) mamambus ‘share (food)’.,5
andam,"(V.) borrow; see -dam-. manamdam,
mangayamdam, pakiyamdam, makiyamdam,
makayamdam, a:yamdam.",5
amiyam,"(N.) winter, the cold season from October to
January.",6
ampil,"(V.) man-ampil ‘stack (dishes)’, ampil-an,
mangayampil, payampil.
(D.) mayampil ‘stacked’.",5
ampon,(Cocombiner) ‘and’.,5
amuk,"(N.) mosquito.
(V.) amuk-an ‘be bitten by mosquitoes’.
(D.) mayamuk ‘be full of mosquitoes (place)’.",4
amurikut,(N.) a kind of grass or weed with pronged seeds.,8
anak,"(N.) child; (pl.) a:nak.
anak-anakan ‘adopted child’; ina:yinak
‘godchildren’; pekayanak ‘substitute for a child’;
anak-bastardo, anak-banggera, anak-puta,
anak-lele-kwayan, anak-lalam-tete ‘illegitimate
child’,
(V.) mang-anak ‘give birth’, maka-anak ‘capable of
giving birth’.
(D.) kasinganak ‘the same age, age mate’.",4
anatis,"(N.) atis, a kind of fruit.",6
anam,(Nu.) six.,4
ana,"(N.) a girl’s name, Ana. [a:na ‘he said’].",3
andas,"(N.) serrated edges (of cloth). Simon de Andas, a
famous Spaniard who once transferred the seat of
Spanish government to Bacolor.",5
ane,"(N.) termite.
(D.) maqa’ne ‘full of termites’.",3
anidyu,(N.) honeydew melon.,6
animal,(N.) animal; [also used as a curse].,6
anti,"(Q.) like, compared to.",4
antak,"(N.) female sexual organs. antak-ne-da-mu [an
indecent curse]. (D.) mayantak ‘sexually attractive
(female)’.",5
anti,"(N.) anti-ra’bis, anti-te-tanus ‘injections to prevent
rabies, tetanus’.",4
anyaq,"(Subcombiner) later, and then, so.
[often combined with uling, as: anyaq, e ko bisang
mamangan king kekami uling ing asan mi tuyuq.
‘And so that’s why you don’t want to eat at our
house because our main course is dried fish’].",5
yangkaq,"(N.) nangka, a fruit.",7
angga,"(Prep.) up to, until.
(N.) angganan ‘boundary’.
(V.) man-angga ‘reach as far as, journey to’;
mipa-angga; mangayang-ganan.",5
anggiq,"(N.) mist, spray, blowing rain.
(V.) mamanggiq ‘it is raining and blowing’.",6
angin,"(N.) wind.
(V.) mamangin ‘the wind is blowing’; angin-an,
in-angin ‘held in the wind’; payangin,
magpayangin, magpakayangin.
(D.) mayangin ‘windy (season, people)’.",5
ango,(D.) meyango ‘derived’.,4
anyaya,"(V.) invite.
(N.) anyahan ‘invitation’.",6
anyayaq,(V.) mang-anya’yaq ‘get inflamed (of a wound)’.,7
anyeho,(N.) rum.,6
apa,"(N.) cone, crust (as, an ice-cream cone).",3
apa,"(N.) bran, especially rice bran.",3
apalit,"(N.) narra, a kind of tree. Apalit, a town in
Pampanga.
10",6
apalyaq,"(N.) a vegetable, ampalaya.
[metaphorically] a person with a sour disposition.",7
apan,"(N.) bait.
(V.) apan-an ‘bait something’; man-apan ‘put out
bait’; maipanapan ‘bait each other’; pan-apan-an.",4
apat,"(Nu.) four.
pang-apat ‘fourth’; mag-apat-a-banwa ‘spend four
years’.",4
apiq,"(N.) lime (calcium oxide); used in making cement;
and as a component of the betel-chew.",4
apiq,"(N.) fire, flame, spark.
(V.) mamapi’q ‘is sparking, is on fire’.",4
aplaya,"(N.) beach [probably a recent borrowing; more
commonly: bebe-dagat].",6
apqap,"(N.) a kind of fish, expensive and considered quite
a delicacy.",5
apu,"(N.) grandparent, especially grandmother. As a
term of address, apu is used for grandfather and
grandmother; as a term of reference, usually it is
restricted to grandmother, with ingkong being
used for grandfather. With saints’ names, as: Apu
Lusya ‘Saint Lucy’.",3
apu,(N.) grandchild.,3
apuluq,(Nu.) ten.,6
apun,"See na:pun ‘yesterday’; gatpanapun ‘afternoon’;
patinga’pun ‘the whole day’.",4
apus,"(N/V/St.) imitation, similarity. Apus mu ku kaya.
‘You are making me look like him’. pa:yapus; see
-kyapus.",4
aral,"(V.) mag-aral ‘study, go to school’. manig-aral
[distributive]; papag-aral ‘be sent to school’.
(N.) panig-aral-an; pag-aral-an ‘lesson’.",4
arap,"(N.) arap/arapa’n ‘the front’.
(D.) maka-arap; miaraparap ‘be situated in front’.",4
arayat,(N.) Mt. Arayat.,6
are,"(N.) hay, usually rice straw.",3
yariq,"(D.) finished. mayari ‘finished’; mayayari.
(V.) ari-an ‘finish something’; man-ariq
‘(something) happened’.",5
arina,"(N.) flour, especially casava flour.",5
arinola,(N.) chamberpot.,7
arihiya,"(N.) things customarily disapproved; statements of
customary disapproval.",7
arkila,"(V.) hire, rent something; see qarkila.",6
arnis,(N.) a self-defense sport.,5
arsobispo,(N.) archbishop; see obispo.,9
aru,(Excl.) something like ‘Wow!’.,3
arung,"(N.) nose.
(V.) arung-an, inarungan ‘put on airs’.",5
asag,(N.) mantle of a pressure lantern.,4
asan,"(N.) 1. fish. 2. viand, i.e., food eaten with rice.
(V.) asan-an, in-asan, as: nanung inasan yu? ‘What
did you eat with your rice?’.",4
asang,(N.) gills.,5
asaq,(V.) asa-an ‘put hope in someone’.,4
asawa,"(N.) spouse; [metaphor] ‘one of a pair, like mortar
and pestle’, tala-asawa ‘a married person’.
(V.) mag-asawa ‘get married’; mang-asawa ‘[old]
arrange marriage’, ‘[new] have sexual
intercourse’; paki-asawa ‘have someone married
to someone else’; pang-asawa-n ‘rape someone’;
mi-asawa ‘be married’.",5
asbuk,"(N.) mouth.
(V.) laban-asbuk ‘argue’.",5
asik,"(V.) man-asik ‘farm’. makipan-asik.
(N.) aski-an ‘rice-fields’. ma:nasik ‘rice farmer’.",4
asin,"(N.) salt; [metaphor] ‘brains, cleverness’.
(V.) asin-an ‘to salt something’. payasin,
paki-asinan, man-asin, apa-yasin, ayasinan
‘unintentionally salted’.",4
asintado,"(D.) clever, accurate.",8
aslag,"(N.) light from a heavenly body; see saslag.
aslagan ‘place where the sun rises, east’.",5
aslam,"(N.) vinegar.
(D.) maslam ‘sour’.
(V.) aslam-an ‘add vinegar to something’;
pan-aslam ‘use something to sour’.",5
aslat,"(D.) mayaslat, miyaslat ‘caught in broken
floor-board’.
13",5
astaka,"(N.) stake.
(V.) man-astaka ‘place stakes’; astak-an ‘bound
with stakes’.",6
asu,"(N.) dog.
(D.) ma-asu ‘many dogs (in a place)’.",3
asuk,(N.) smoke.,4
asul,"(N.) blue.
(D.) ma-asul ‘dark blue’; ma-asulasul ‘light blue’;
maka-asul ‘wearing blue clothes’.",4
asung,(N.) mortar.,5
aswang,"(N.) a frightening spirit creature, half-human,
half-bird, vampire-like, said to prey on corpses and
unborn children.
(V.) aswang-an, inaswangan ‘made victim by an
aswang’.",6
aswe,"(N.) 1. comb.
2. harrow.
(V.) man-aswe ‘use a harrow. aswe-n ‘comb (hair)‘;
payaswe ‘have hair combed by another’.",4
asyag,(N.) stye; see agya’p.,5
asyas,"(N.) post (e.g. asyas-bale ‘house-post’).
peka-asyas ‘mainstay’.",5
at,"(Cocombiner) ‘and’.
Sometimes ‘that’, as: kapna mu at bala mu ‘it’s
good that you know it’.",2
atab,(N.) tide.,4
atad,"(V.) escort away from home to another place.
mamatad, i (h) atad, paki-atad.
(N.) pamatad-oras ‘pastime’.",4
atake,"(N.) attack, heart-attack, stroke.
(D.) me-atake ‘victimized by stroke’.",5
atbu,(N.) sugar-cane.,4
atduq,(N.) bile.,5
ate,(N.) liver.,3
atik,"(N.) money, wealth; see qatik.",4
atlu,"(Nu.) three.
pangatlu ‘third’; makatatlu ‘third time’; titlu-titlu
‘three-by-three’. atlung-ari 1. Feast of Three
Kings; 2. a constellation.",4
atni,"(D.) matni’ ‘loud’.
matni-buntuk ‘intelligent’.",4
acata,(N.) a large bedpan.,5
atcan,"(N.) stomach.
(V.) atcanan ‘hit someone in stomach’.",5
atcaq,"(V.) throw; itca ‘threw’.
makayatcaq [ability]; atca-nan ‘throw something
to somebody’; mipayatca; ayatca.
(N). pa:manatcaq ‘pitching style’; piyatcanan
‘place something was thrown’.",5
atcara,(N.) pickled salad.,6
atcing,"(N.) sneeze.
(V.) mamatcing ‘is sneezing’.",6
atras,"(V.) to the back, rear; retrogress. see qatras.",5
atrasu,"(N.) omission, failure.
(D.) atrasa’du ‘late’.",6
atcaka,"(Cocombiner) ‘and also’.
at-saka na ‘later’.",6
atsi,"(N.) older sister.
Also used as a term of polite address to women,
as: Atsing Edad, Atsing Son.",4
atul,(N.) decision.,4
atut,"(N.) flatulence.
(V.) atutan ‘affect another with one’s flatulence’.",4
atcesa,(N.) a kind of fruit.,6
aul,"(V.) awl-an ‘guess something’, c.f. ula-",3
aunus,"(N.) portion, share.",5
aus,"(V.) call, summon.
man-aus; aws-an ‘call someone’.",3
awak,"(N.) a large bird of prey, crow or hawk.",4
awakan,(N.) waist.,6
awang,(N.) window.,5
awe,(N.) a kind of rattan.,3
awni,(Subs.) alternate form for oini.,4
awta,(Subs.) alternate for oita.,4
ayri,"(N.) air.
(D.) de-ayri ‘works by means of air’.",4
ayun,"(V.) agree with, go along with.
ayun-an, pa-ayun-an, maki-ayun.",4
ayun,"(N.) earthquake.
(V.) mamayu’n ‘earth is quaking’.",4
ayup,(N.) bird. ayup-ayu-pan ‘insect’.,4
aywe,(N.) highway.,4
babagwaq,"(N.) spider.
babagwaq singgagatu, babagwang bale,
babagwang tanaman.",8
babaq,(N.) chin.,5
babaq,"(N.) low place, underneath; old name of the
town now called Lubao.
(V.) baba’q, be:baq ‘lower, put down’; disclose,
set forth; i-babaq ‘lower something’; mag-baba
‘go down’; paba-ban ‘have something brought
down’; ababaq, apababan.",5
babai,"(N.) woman; (pl.) ba:bai. binabai ‘common-law
wife’; binabai ‘girlhood’.
(V.) mambabai/magbabai ‘pursuing women’.",5
babiq,"(N.) pig. babing-diku’t ‘wild pig’.
(D.) bina’biq ‘careless’.
(V.) mag-binabiq ‘be careless, act like a pig’.",5
bablas,"(V.) get dressed; see piblas. mi-bablas ‘be
dressed’; pi-bablas-an ‘dress someone else’.",6
babo,"(N., Prep.) up, upstairs, above.
(V.) mag-babo, magpababo ‘go up’; papababo
‘put something on top’; makapagpababo ‘able
to go on top’.
(D.) mababo ‘on top, above’; maka-babo
‘leading (in election)’; maba’-bo-pa’liq ‘easily
angered’.",4
babuq,(V.) [a children’s word] ‘you might fall’.,5
bakal,(N.) iron.,5
bakal,"(N.) packed lunch, food carried along when on
a trip.
(V.) mag-baka’l ‘carry one’s lunch’; abakalan
‘able to carry something’.",5
bakante,(D.) unoccupied.,7
bakas,"(N.) mark, sign, indication.
(V.) babakas, mamakas ‘make marks’; bakasan,
bekasan ‘mark something’; pabakas ‘have
something marked’.",5
bakbak,"(N.) scar, scab, peeling skin.
(V.) mangabakbak, magpabakbak, mipamakbak
‘peel off something’.
(D.) mabakbak.",6
bakit,"(Q.) why?; see bat, obat.",5
baklad,(N.) canal in fishponds or sea.,6
bakle,"(N.) yoke. makabakle ‘warp, or woof, in
weaving’.
(V.) bakle, bikle ‘put something across
something else’.
(D.) makabakle ‘out of condition, in a bad
mood’.",5
bako,"(N.) mangrove wood (used for firewood);
baka’wan mangroves ‘where wood is collected
for charcoal’.",4
bako,(N.) red heron.,4
bakse,"(N.) oar, paddle.
(V.) babakse, mamakse ‘row, paddle’,
makapamakse ‘be able to paddle’; makibakse
‘paddle with others’.",5
bakud,"(N.) fence.
(V.) mag-bakud, magpabakud ‘put up a fence’;
bakur-an ‘fence something in’.",5
ba,(Subcombiner) in order to.,2
bakulud,"(N.) Bacolor, a town in Pampanga.
makabakulud ‘plain, plateau, high level rocky
place’.",7
bakwe,"(V.) mag-bakwe’ ‘smoke with burning part of
cigarette or cigar inside mouth’; babakwe.",5
bakwit,(V.) mag-bakwit ‘evacuate’. (fr. Eng. evacuate).,6
bakwit,(N.) a kind of bird (small).,6
bakyum,(N.) sonic boom (from Eng. vacuum).,6
bagaq,(N.) lungs.,5
bagang,(N.) molar tooth.,6
bagasu,"(N.) pulp, the part of the sugarcane which is
discarded after milling; sawdust.",6
bage,"(D.) matching, compatible.
(V.) bagay-an ‘match something to something
else’.
(N.) thing, object, affair. bage-ba’ge ‘small
things, details’.",4
bagin,"(N.) vine.
(V.) mag-ba’gin ‘swing on a vine’.",5
bagsik,"(D.) mabagsik ‘be cruel, annoying’.
(V.) babagsik ‘harrass’.",6
baguk,(N.) fermented foods.,5
bagun,"(N.) railroad car. bagune’ru ‘conductor’.
(V.) pa:bagun ‘use a railroad car to carry’.",5
bagut,"(N.) draw, a chance or turn.",5
bagyaq,"(Q.) a little bit.
ba:gya:bagyaq ‘little-by-little’.",6
bagyu,"(N.) tropical storm, typhoon. pabagyu ‘a
showoff’.
(V.) babagyu ‘a typhoon is blowing’.",5
bagyus,"(N.) feathers, long wing feathers.",6
baintau,"(N.) bachelor, unmarried male [also used of
young male carabao]. mamayintau ‘one who is
being a bachelor.",7
bait,"(St./D.) born. mibai’t ‘born’.
(N.) kebaitan ‘birthday’.
(V.) mangabait; a:bait.",4
balaq,"(N.) responsibility, warning, matter, concern
as: ika ing ba:laq ‘you are in charge, it’s up to
you, you decide’. e ba:laq ‘it doesn’t matter.
(V.) bala-an, babalan, bebalan ‘warn someone
about something’; paba:laq ‘give one
responsibility’; panibalaq.
(N.) kapama:lan ‘the government’.",5
bala,"[idiomatic expression–inflection highly
limited].
bala’ mu ‘you would think; it seems;
apparently’. bala’ ku ‘I think so; it seems so to
me’.",4
balabaq,"(V.) bala’ba:n ‘cut something down’. be:la’baq,
mamalabaq, pabalabaq, pamalaban.",7
balakang,"(N.) hips.
21",8
balag,(N.) trellice.,5
balag,"(V.) magpabala’g ‘drop out’; maka-bala’g ‘fall
accidentally’; manga-bala’g ‘dropping
repeatedly’; pa:-balag ‘caused to drop’; a:balag
‘dropped’; a:pabala’g ‘had an abortion,
miscarriage’.
(D.) ma-balag ‘dropped’.",5
balai,"(N.) father of a married child as he stands
related to the father of his child’s spouse.
mibalai ‘be related as balai’.
(V.) mamalai ‘arrange a marriage’; abalai ‘be
made balai of someone’.",5
balang,"(Q.) every, each and every.",6
balang,"(N.) a kind of insect said to be destructive to
coconut trees.",6
balangaq,"(N.) clay pot, used to cook viands.
[also used as a nickname].",8
balangkas,"(N.) framework.
(V.) babalangkas, mamalangkas ‘construct’;
balangkasan, belangkas, pa:balangkas,
magpabalangkas, paki-balangkas, abalangkas,
apabalangkas.
(D.) mabalangkas.",9
balanggut,"(N.) a grass or reed which grows near river
banks and is used to weave mats and hats.",9
balas,"(N.) bullet, bullets.",5
balas,"(N.) sand.
Also the name of a barrio of Bacolor.
(V.) ma:malasmala’s ‘feels sandy’.",5
balasenas,"(N.) eggplant.
[metaphor] penis.
(V.) mamalase’nas [with the metaphorical
sense]
22",9
balasubas,(N.) nipa wine; a selfish person.,9
balat,(N.) birthmark.,5
balat,"(N.) skin (human, animal, fruit); bark (tree);
crust.",5
balatong,(N.) mongo bean.,8
balatuq,"(N.) ‘blow-out’–a party where one who has
come on some good fortune pays all the
expenses.
(V.) mamala’tuq.",7
balawe,(N.) hawk.,6
balbal,"(N.) shattered pieces. kabalbal; pibalbalan ‘the
pieces left intact when something has
shattered’.
(V.) mangabalbal, makabalbal, makibalbal,
pakibalbal, pabalbal, abalbal, apabalbal.
(D.) mabalbal.",6
balbaru,(N.) a bearded person.,7
balbas,"(N.) beard. pekabalbas ‘a fake beard’.
(D.) mabalbas ‘bearded’; balbasan ‘bearded’.
(V.) mamalbas ‘shave self’; magpabalbas ‘get
shaved’; mangabalbasan ‘let beard grow’;
makapamalbas; pa-pagbalbasan ‘tell someone
to get a shave’.",6
baldadu,"(D.) crippled, lame.
(V.) mangabaldadu, makapagbaldadu,
makibaldadu, pa:baldadu, apabaldadu.",7
baldug,"(V.) fall down.
bildug; a:baldug ‘fell accidentally’; ke:baldug
‘caused to fall’; pa:baldug ‘cause to fall;
translate’; magpabaldug ‘let self drop behind
others’.
(N.) kabaldugan ‘meaning’; baldugan-panyuq
‘drop-the-handerchief’.
23",6
baldugan,"(N.) a lending system, called ‘five-six’; 20%
interest, payment daily.
(V.) mamaldug.",8
bale,"(N.) house.
makibale’ ‘house owner, housewife’;
kasi’ping-bale’ ‘neighbor’; balebalayan
‘play-house’.",4
balen,"(N.) town.
kabalen ‘townmate’; kabalenan ‘the town
proper’; me:malen ‘the townspeople’;
mibalenbalen ‘related to each other as from
the same town’.
(D.) pambalen ‘civic’.",5
balentino,"(N.) a male name, Valentino.",9
baliq,(N.) a woven shopping bag or basket.,5
balik,"(V.) mag-ba’lik ‘return’; i-balik ‘return
something’; balikan ‘return to somewhere’;
pabalikan ‘return something’.
(N.) kabalik ‘opposite, opponent’. kabalikan
‘reverse’.",5
balikubak,(N.) dandruff.,9
balikuku,"(D.) curved.
makabalikuku.",8
balid,"(D.) crooked, twisted, incorrect. balidbali’d
‘ungrammatical speech’.
(N.) kabalidbalid ‘errors in grammar’.",5
baligtad,"(D./St.) backwards. mabaligtad, makabaligtad.
(N.) baligta’rin ‘reversible cloth, political
turncoat, one who speaks ambiguously’.
(V.) magbaligtad ‘tumble backwards’.
pabaligtad, pakibaligtad, ke:baligtad,
a:baligtad, mibaligtad. i-baligtad ‘reverse
something, turn something inside-out’.",8
balimbing,"(N.) a person who ‘backbites’, i.e., says nice
things in your presence but derogates you in
your absence. A somewhat sour, segmented
fruit [some speakers say this is not
Kapampangan but Tagalog–see taranatiq].",9
balimbingan,"(N.) edge of ear.
(V.) balimbinga’n ‘to flick edge of another’s ear,
as parents mildly punish children’.",11
baling,(D.) mabaling ‘smelling of urine’.,6
balisa,"(D.) restless, constantly moving.",6
balitaq,"(N.) news, clue.
(V.) magbalitaq ‘spread news’; mamalitaq;
ibalitaq ‘tell someone something’; makibalitaq
‘share news’; balita’nan ‘inform someone’;
mibali’taq, mipamali’taq ‘be informed’.",7
balitang,"(N.) level, grade, rung of a ladder.
(V.) mamalitang ‘repair or install ladder rungs’.",8
balitiq,"(N.) a species of tree, said to be a favored
place of spirits.
A barrio of San Fernando.",7
balobalo,(N.) a fermented delicacy.,8
balok,"(N.) a medicinal concoction, made from boiling
gizzard of duck or chicken in salt and water.
Said to be a remedy for appendicitis.",5
balona,"(N.) pants cuffs.
(D.) dibalo’na ‘cuffed-style pants’.",6
balsamu,"(N.) balm. balsame’ru/mambalsamu
‘embalmer’.
(V.) balsamwan ‘to embalm someone’;
panambalsamwan.
(D.) mabalsamu ‘embalmed’.",7
baluq,"(N.) knowledge. mikibaluq, makibaluq ‘people
who know’.
(V.) balwan, belwan ‘know something’; pabaluq
‘inform; ipabaluq; a:baluq ‘informed’; tabaluq
‘don’t know’.",5
baltang,"(V.) mamaltang ‘take a shortcut’.
makapamaltang ‘able to be shortened’.
(N.) pa:mamaltang ‘shortcut, the taking of a
shortcut’; baltanga’n ‘a shortcut’.",7
balu,"(N.) widow, widower; see byu’da.",4
balubad,"(N.) cashew (‘Queen of the fruits, because it
sits on a throne’).",7
baluktut,"(D.) bent, curled up.
makabaluktut ‘in a bent position’; mibaluktut
‘got bent’.
(V.) magbaluktut, pa:baluktut, pamaluktut,
a:baluktut, makibaluktut, pakibaluktut.",8
balugaq,"(N.) Negrito [generally used as a term of
opprobrium].",7
balugbug,"(N.) ear(s); bottom of the macopa fruit.
(V.) balugbuga’n ‘hit in the ear’.",8
balungus,"(N.) kuskus-balungus ado, fuss.
(D.) kabalungusan (!).",8
